step,signal
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,9.08343e-16
27,2.59431e+12
28,1.06225e+33
29,8.72117e+49
30,3.79226e+62
31,2.03229e+68
32,2.40453e+71
33,2.68781e+73
34,9.10034e+74
35,1.606e+76
36,1.94588e+77
37,1.73074e+78
38,1.20889e+79
39,7.01326e+79
40,3.51147e+80
41,1.5528e+81
42,6.15485e+81
43,2.2122e+82
44,7.28615e+82
45,2.2207e+83
46,6.31943e+83
47,1.69237e+84
48,4.29423e+84
49,1.03825e+85
50,2.40279e+85
51,5.34165e+85
52,1.14385e+86
53,2.36442e+86
54,4.72613e+86
55,9.14937e+86
56,1.718e+87
57,3.13359e+87
58,5.5603e+87
59,9.61271e+87
60,1.62159e+88
61,2.6732e+88
62,4.31261e+88
63,6.81814e+88
64,1.05772e+89
65,1.61206e+89
66,2.41649e+89
67,3.56636e+89
68,5.18698e+89
69,7.44086e+89
70,1.05364e+90
71,1.47375e+90
72,2.03755e+90
73,2.7861e+90
74,3.76998e+90
75,5.05177e+90
76,6.71354e+90
77,8.88398e+90
78,1.18282e+91
79,1.62054e+91
80,2.3713e+91
81,3.85197e+91
82,7.0139e+91
83,1.38687e+92
84,2.83739e+92
85,5.78155e+92
86,1.14815e+93
87,2.20051e+93
88,4.0569e+93
89,7.19413e+93
90,1.22876e+94
91,2.02535e+94
92,3.22841e+94
93,4.98692e+94
94,7.47966e+94
95,1.09127e+95
96,1.55137e+95
97,2.15228e+95
98,2.91811e+95
99,3.87159e+95
100,5.03247e+95
101,6.41588e+95
102,8.03077e+95
103,9.87858e+95
104,1.19522e+96
105,1.42355e+96
106,1.67033e+96
107,1.93216e+96
108,2.20491e+96
109,2.48381e+96
110,2.76367e+96
111,3.03908e+96
112,3.30463e+96
113,3.55513e+96
114,3.78579e+96
115,3.99246e+96
116,4.17172e+96
117,4.32106e+96
118,4.43887e+96
119,4.52458e+96
120,4.57857e+96
121,4.6022e+96
122,4.59774e+96
123,4.56824e+96
124,4.51752e+96
125,4.44994e+96
126,4.37038e+96
127,4.28405e+96
128,4.19634e+96
129,4.1127e+96
130,4.0385e+96
131,3.97888e+96
132,3.93857e+96
133,3.92183e+96
134,3.93228e+96
135,3.97282e+96
136,4.04551e+96
137,4.15155e+96
138,4.29124e+96
139,4.46392e+96
140,4.66808e+96
141,4.90133e+96
142,5.16054e+96
143,5.44191e+96
144,5.74111e+96
145,6.0534e+96
146,6.3738e+96
147,6.69723e+96
148,7.01864e+96
149,7.33315e+96
150,7.6362e+96
151,7.92357e+96
152,8.19157e+96
153,8.43701e+96
154,8.65725e+96
155,8.85027e+96
156,9.01461e+96
157,9.14937e+96
158,9.25419e+96
159,9.32922e+96
160,9.37503e+96
161,9.39259e+96
162,9.38323e+96
163,9.34853e+96
164,9.29032e+96
165,9.21059e+96
166,9.11142e+96
167,8.99498e+96
168,8.86344e+96
169,8.71894e+96
170,8.56353e+96
171,8.39917e+96
172,8.22769e+96
173,8.05077e+96
174,7.86993e+96
175,7.68653e+96
176,7.50178e+96
177,7.31676e+96
178,7.13242e+96
179,6.94966e+96
180,6.76931e+96
181,6.59219e+96
182,6.41912e+96
183,6.251e+96
184,6.08878e+96
185,5.93348e+96
186,5.78624e+96
187,5.6483e+96
188,5.52095e+96
189,5.4056e+96
190,5.3037e+96
191,5.21678e+96
192,5.14638e+96
193,5.09409e+96
194,5.06154e+96
195,5.05036e+96
196,5.06223e+96
197,5.09884e+96
198,5.16187e+96
199,5.25298e+96
200,5.37372e+96
201,5.52552e+96
202,5.70953e+96
203,5.92658e+96
204,6.17699e+96
205,6.46051e+96
206,6.77614e+96
207,7.12208e+96
208,7.49563e+96
209,7.89312e+96
210,8.31e+96
211,8.74082e+96
212,9.17941e+96
213,9.61898e+96
214,1.00524e+97
215,1.04723e+97
216,1.08714e+97
217,1.12431e+97
218,1.15811e+97
219,1.188e+97
220,1.21358e+97
221,1.23454e+97
222,1.25074e+97
223,1.26215e+97
224,1.26893e+97
225,1.27136e+97
226,1.26984e+97
227,1.26491e+97
228,1.2572e+97
