step,integrated_mass,clock_ratio_constant
-1,8.85e+11,1e+35
0,8.85e+11,1e+35
10,8.85e+11,1e+35
20,8.85e+11,1e+35
30,8.85e+11,1e+35
40,8.85e+11,1e+35
50,8.85e+11,1e+35
60,8.85e+11,1e+35
70,8.85e+11,1e+35
80,8.85e+11,1e+35
90,8.85e+11,1e+35
100,8.85e+11,1e+35
110,8.85e+11,1e+35
120,8.85e+11,1e+35
130,8.85e+11,1e+35
140,8.85e+11,1e+35
150,8.85e+11,1e+35
160,8.85e+11,1e+35
170,8.85e+11,1e+35
180,8.85e+11,1e+35
190,8.85e+11,1e+35
200,8.85e+11,1e+35
210,8.85e+11,1e+35
220,8.85e+11,1e+35
230,8.85e+11,1e+35
240,8.85e+11,1e+35
250,8.85e+11,1e+35
260,8.85e+11,1e+35
270,8.85e+11,1e+35
280,8.85e+11,1e+35
290,8.85e+11,1e+35
300,8.85e+11,1e+35
310,8.85e+11,1e+35
320,8.85e+11,1e+35
330,8.85e+11,1e+35
340,8.85e+11,1e+35
350,8.85e+11,1e+35
360,8.85e+11,1e+35
370,8.85e+11,1e+35
380,8.85e+11,1e+35
390,8.85e+11,1e+35
400,8.85e+11,1e+35
410,8.85e+11,1e+35
420,8.85e+11,1e+35
430,8.85e+11,1e+35
440,8.85e+11,1e+35
450,8.85e+11,1e+35
460,8.85e+11,1e+35
470,8.85e+11,1e+35
480,8.85e+11,1e+35
490,8.85e+11,1e+35
